<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
的	5959
是	1459
和	1308
在	1239
了	1016
中国	939
一	837
对	674
发展	594
中	586
不	575
两	540
个	529
国	495
这	477
要	453
美国	453
有	441
与	429
经济	414
说	398
他	397
也	387
关系	382
问题	368
上	363
台湾	362
将	357
国家	355
新	338
各	328
人民	320
为	319
就	315
我们	310
年	307
政府	277
工作	253
大	253
合作	250
重要	228
次	219
还	217
社会	208
都	205
地	200
以	195
能	191
表示	190
党	185
国际	184
建设	179
会	179
世界	177
并	175
但	175
多	174
进行	172
而	170
来	169
人	165
美	164
方面	162
从	161
等	159
种	158
地区	156
已	156
政策	156
到	156
政治	155
全	152
企业	151
三	151
加强	150
日	149
代表	148
和平	137
此	136
月	133
把	132
更	131
下	131
日本	130
岸	129
着	129
统一	129
指出	128
我国	128
历史	128
后	128
共同	126
实现	126
我	125
会议	123
向	122
双方	122
没有	121
必须	121
改革	118
时	118
世纪	118
江泽民	117
友好	116
认为	116
教育	116
组织	115
军事	112
原则	112
技术	111
市场	111
其	111
思想	110
要求	110
一些	110
进一步	110
支持	109
战略	108
应	107
稳定	107
所	104
之	104
努力	104
民族	103
坚持	103
使	103
他们	103
访问	102
领导	102
不断	102
活动	102
最	100
北京	99
领导人	98
已经	97
安全	96
提出	95
项	95
自己	95
好	94
利益	94
强调	92
继续	92
有关	92
解决	91
希望	90
这个	90
目前	89
影响	89
很	88
记者	88
同	87
干部	87
总统	86
又	86
中央	85
取得	85
提高	84
作为	84
建立	84
可以	84
计划	83
同时	83
社会主义	83
管理	82
于	82
今年	82
领域	82
积极	81
主席	81
基础	81
祖国	79
布什	79
这些	79
法轮功	79
开发	79
通过	79
作用	78
及	78
大陆	77
环境	77
可	77
举行	76
人权	76
情况	75
高	75
成为	74
今天	74
贸易	73
导弹	73
当局	72
根本	71
制度	71
由	70
才	69
本	69
西部	68
香港	68
主要	68
促进	67
发生	67
推动	67
实施	67
如果	66
文化	66
形势	66
扩大	65
去年	65
俄	65
战争	65
决定	64
保持	64
需要	64
正	64
只	63
精神	62
